wiki_name,parkCode,title,category,description,lastIndexedDate,url
Big Bend,bibe,Panther Junction Convenience Store Closed for Remodel,Information,The Panther Junction convenience store located at the Panther Junction gas station is closed for remodeling. Gas/diesel pumps remain open and available 24/7. Gas/diesel is also available at Rio Grande Village from 8:00 AM to 9:00 PM.,2025-02-20 17:48:53.0,
Big Bend,bibe,Pardon Our Dust: Chisos Basin Improvement Projects to Begin in July,Information,Work on two large construction projects in the Chisos Basin will begin in July 2025 and continue for approximately two years. Major disruptions in visitor access to the Chisos Basin are expected during this time. Big Bend National Park will remain OPEN.,2025-02-14 15:41:02.0,https://www.nps.gov/bibe/planyourvisit/chisos-basin-access.htm
Big Bend,bibe,Temporary Trail Closure to Protect Nesting Falcons,Information,"From February 1st through May 31st, a portion of the East Rim Trail in the Chisos Mountains will be closed to protect nesting falcons. The closure includes East Rim backpacking campsites ER-4, 5, 6, 7, 8, 9. For details and a map, click ""more.""",2025-01-17 09:04:23.0,https://www.nps.gov/bibe/learn/news/temporary-trail-closures-for-peregrine-falcon-nesting-season.htm
Big Bend,bibe,Big Bend is a NO DRONE Zone,Information,The use of drones is prohibited in Big Bend National Park. Thank you for preserving the peace and tranquility of Big Bend.,2022-12-13 10:11:51.0,
Big Bend,bibe,Bringing a Pet to Big Bend?,Information,"Bringing your pet to Big Bend National Park will limit some of your park explorations and opportunities. Pets are not allowed on park trails, in the backcountry, or on the river. Pets are allowed only where vehicles can go. Pets may not be left unattended",2022-05-04 15:01:26.0,https://www.nps.gov/bibe/planyourvisit/pets.htm
Biscayne,bisc,Boca Chita Historic District,Park Closure,Work on the Boca Chita Lighthouse will begin Monday 01/20/2025.  During this project the lighthouse will be closed to the public and scaffolding will be erected temporarily obscuring views of this iconic landmark.  Updates will be provided when available.,2025-01-15 12:06:18.0,
Biscayne,bisc,Camping and Docking at Boca Chita and Elliott Keys,Information,Docking at Boca Chita and Elliott Keys: $25.00 Friday - Monday and Federal Holidays Camping at Boca Chita and Elliott Keys: $35.00 per night. Payments must be made on site using the recreation.gov phone app.,2024-02-05 15:43:10.0,https://www.nps.gov/bisc/planyourvisit/fees.htm
Biscayne,bisc,Ride Share Services,Information,"Convoy Point grounds, Jetty Trail, kayak launch, and picnic area open at 7 a.m. and close at 5:30 p.m. If you are using a ride share service for transportation to and from the park, ensure ride share services can be onsite before closing time.",2023-10-31 14:13:42.0,
Biscayne,bisc,Boater Awareness,Caution,Please use caution in park waters due to navigational markers that may be missing or moved due to unforeseen circumstances.,2022-09-07 17:29:16.0,
Black Canyon of the Gunnison,blca,North Rim spring opening delayed,Park Closure,"Due to a delay in contracting for road maintenance, we estimate that the North Rim Road will be open by mid-May. Until then, all North Rim facilities will remain closed, and the road will remain closed and gated at the park boundary.",2025-03-26 11:03:33.0,
Black Canyon of the Gunnison,blca,East Portal Road closed for winter,Park Closure,"East Portal Road is closed, and will reopen in spring as conditions permit. East Portal Road reopening is determined by the Bureau of Reclamation.",2025-03-26 10:58:44.0,
Black Canyon of the Gunnison,blca,Campground Closures,Park Closure,All campgrounds are closed until further notice.,2025-02-27 10:19:43.0,
Black Canyon of the Gunnison,blca,South Rim Drive closed for winter,Park Closure,"South Rim Drive is closed past the South Rim Visitor Center. Until there is enough snow for grooming, it will remain open for pedestrians and bicycles.",2024-11-18 10:32:52.0,https://www.nps.gov/blca/planyourvisit/winteractivities.htm
Black Canyon of the Gunnison,blca,No Water Available,Caution,Water systems throughout the park are shut off for the winter season. Plan ahead and bring all drinking water.,2024-10-15 10:41:10.0,
Black Canyon of the Gunnison,blca,South Rim Road construction continuing in 2025,Caution,"Major road improvement projects are complete for 2024. Construction will continue in 2025. Expect delays, alternating one-way traffic, and parking lot closures.",2024-09-23 12:17:52.0,https://www.nps.gov/blca/learn/news/road-improvement-projects-to-impact-black-canyon.htm
Bryce Canyon,brca,Temporary Trail Closure,Park Closure,"For safety reasons, the connector trail from Bryce Point to Peekaboo Loop is closed due to severe icy conditions. Peekaboo Loop may still be accessed from the Two Bridges side of Navajo Loop and the Figure 8 Combination Trail.",2025-01-21 17:56:58.0,
Bryce Canyon,brca,Bryce Canyon is Open - No Reservations Required to Enter,Information,No reservations are required to enter Bryce Canyon National Park at any time of year. Simply pay your park entrance fee or present your America the Beautiful pass upon arrival.,2024-02-16 15:58:11.0,https://www.nps.gov/brca/planyourvisit/basicinfo.htm
Bryce Canyon,brca,Winter Trail Closures,Park Closure,"The Connecting Trail from Bryce Point to the Peekaboo Loop and the Wall Street side of Navajo Loop are closed for the winter season. The Two Bridges side of Navajo Loop remains open year-round, allowing access to Peekaboo Loop and Queen's Garden.",2023-01-05 13:55:32.0,https://www.nps.gov/brca/planyourvisit/winter.htm
Canyonlands,cany,Expect long lines to enter the park,Information,"Between March and November, particularly on busy holiday weekends, you may experience long lines at the entrance road. Parking lots at popular trailheads and viewpoints will fill early. Pack your patience and arrive early to avoid crowds.",2025-03-24 13:52:26.0,https://www.nps.gov/articles/plan-like-a-park-ranger-top-10-tips-for-visiting-canyonlands.htm
Canyonlands,cany,Difficult conditions complicate Cataract Canyon takeouts,Caution,"Hite Ramp is closed. The North Wash take-out is a primitive, unimproved dirt take-out. You will not be able to back a trailer down the dirt slope. Recent washouts have further deteriorated conditions.",2022-06-24 12:44:28.0,https://www.nps.gov/glca/planyourvisit/lake-powell-marinas.htm
Capitol Reef,care,Scenic Drive Rehabilitation Project,Caution,"The Scenic Drive is open through Capitol Gorge. Please drive carefully in construction areas. The road will fully close again in the spring, dates to be determined.",2025-03-10 11:04:16.0,https://www.nps.gov/care/planyourvisit/scenic-drive-rehabilitation-project.htm
Capitol Reef,care,Special Use Permits,Information,"Special Use Permits are typically needed for activities that benefit a specific group. Examples include: Groups of 40 or more, trips organized by scouting groups, churches, or academic institutions, photography, weddings, and first amendment activities",2023-02-23 17:40:28.0,https://www.nps.gov/care/planyourvisit/special-use-permits.htm
Carlsbad Caverns,cave,Closures Due to Flood Damage,Information,Some areas of the park including Walnut Canyon Desert Drive and some trails remain closed after extensive flood damage. The main park road to the visitor center and cavern is open.,2025-03-05 12:00:34.0,https://www.nps.gov/cave/planyourvisit/conditions.htm#flood
Carlsbad Caverns,cave,High Fire Danger,Caution,"Due to high fire danger, there are multiple closures and prohibited activities. The main park road to Carlsbad Cavern and the visitor center is open.",2025-03-05 11:24:58.0,https://www.nps.gov/cave/planyourvisit/conditions.htm#fire
Carlsbad Caverns,cave,Items Worn or Used in Other Caves Not Allowed,Information,"A disease known as White-Nose Syndrome is killing bats in North America. To prevent it from spreading to our bats, do not wear shoes, clothing, or bring any gear into any cave at Carlsbad Caverns National Park that were in another cave.",2024-04-09 19:40:57.0,https://www.nps.gov/articles/what-is-white-nose-syndrome.htm
Carlsbad Caverns,cave,Timed Entry Ticket Required to Enter Carlsbad Cavern,Information,"Reservations are highly recommended and can be purchased by clicking ""more"" or calling 877-444-6777. Reservations only select the entry time. Upon arrival at the visitor center, an entrance pass must be purchased.",2024-04-05 14:46:23.0,https://www.recreation.gov/ticket/234637/ticket/10086811
Carlsbad Caverns,cave,Footwear in the Cavern,Information,"For safety, closed-toe shoes with good traction are recommended. Flip flops, sandals, and some walking shoes have little or no traction and increase the possibility of slips, trips, and falls. Watch your step and use the handrails when necessary.",2018-09-19 18:25:10.0,
Carlsbad Caverns,cave,Unmanned Aircraft (Drones) Are Prohibited,Information,"The use of unmanned aircraft, also known as drones, is prohibited within Carlsbad Caverns National Park.",2018-07-11 13:54:39.0,https://www.nps.gov/articles/unmanned-aircraft-in-the-national-parks.htm
Channel Islands,chis,Temporary Closure on Santa Rosa Island,Park Closure,"The beaches and dunes of China Camp and Cluster Point, and area in-between, are temporarily closed to all visitor access for the protection of sensitive resources. Travel is allowed on marked paths.",2024-02-22 16:46:51.0,https://www.nps.gov/chis/planyourvisit/backcountry-beach-camping-on-santa-rosa-island.htm
Channel Islands,chis,Santa Barbara Island Dock Closed; Landings Restricted to Adjacent Rocky Ledge,Information,"Santa Barbara Island is open to public access, but landings are restricted to the rocky ledge adjacent to the dock. The dock is closed and is not expected to be repaired in the near future due to the severe winter storm damage.",2018-01-23 14:42:10.0,https://www.nps.gov/chis/planyourvisit/conditions.htm
Congaree,cong,Boardwalk Construction Underway at Sections D & F (Updated 3/29/2025),Park Closure,"Sections D, E, and F of the Boardwalk east of the Sims Trail are currently closed for planned removal and replacement. Weston Lake Trail is currently an out and back trail. Please see our trail information page for more details.",2025-03-29 16:24:31.0,https://www.nps.gov/cong/learn/news/work-on-boardwalk-replacement-to-begin-next-week.htm
Congaree,cong,2025 Firefly Viewing Event Lottery Dates Announced,Information,Please see linked News Release for more details!,2025-03-22 14:40:37.0,https://www.nps.gov/cong/learn/news/2025-synchronous-firefly-viewing-event.htm
Congaree,cong,Backcountry Trail Conditions,Caution,"GPS is necessary on backcountry trails: Oakridge, River, and Kingsnake. These trails may be difficult to follow. River Trail is not recommended at this time due to the volume of downed trees and debris from recent storms.",2024-11-16 10:46:27.0,
Congaree,cong,Please Email if Unable to Reach by Phone,Information,"Park phones are experiencing technical issues at this time. If unable to reach by phone, please feel free to email cong_information@nps.gov with any questions.",2024-11-13 12:05:33.0,
Congaree,cong,Planning Ahead for Transportation,Information,"If being dropped off at the park, please ensure you will have a return ride. Taxis and rideshares do not often come out to Congaree, and the bus may be unavailable. Please plan ahead.",2023-11-08 14:25:04.0,https://www.nps.gov/cong/planyourvisit/directions.htm
Crater Lake,crla,Travel on Hwy 62 through the Park is NOT Advised,Caution,Travel on Hwy 62 through the park is not advised at this time. The park is experiencing issues with several pieces of snow plowing equipment making it difficult to keep the roadway clear for travel.,2025-03-31 14:00:05.0,
Crater Lake,crla,Road from Park Headquarters to Rim Village is Temporarily CLOSED,Park Closure,The road from Park HQ to Rim Village is currently closed due to the latest winter storm. It is not currently possible to get a lake view by vehicle. All Oregon Chain Laws apply.,2025-03-30 22:47:21.0,https://forecast.weather.gov/MapClick.php?lon=-122.13198849186297&lat=42.89862877968113
Crater Lake,crla,Park's Voicemail System is Not Working,Information,The park's voicemail system is not working at this time. Please email us at craterlake@nps.gov if you need to leave a message. Thank you for your patience.,2025-03-28 17:06:08.0,https://www.nps.gov/crla/contacts.htm
Crater Lake,crla,Icy Roads - Please Use Caution!,Caution,The open roads in the park have lots of icy patches. Please drive slowly and with caution. All Oregon Chain Laws apply.,2025-01-17 23:44:21.0,
Crater Lake,crla,North Entrance Road and Rim Drive are CLOSED for the season.,Park Closure,The North Entrance Road and East & West Rim Drives are now closed for the season a few The roads will not open again until mid to late June or July 2025. All other roads are open.,2024-11-14 12:46:17.0,
Crater Lake,crla,No Gasoline is Available in the Park,Caution,The gas pumps at Mazama Village are CLOSED for the season. Please plan ahead and fill up your tank before heading to the park.,2024-11-11 22:39:21.0,
Crater Lake,crla,Trail Closures Due to the Middle Fork Fire,Park Closure,"The Bald Crater Loop, Bert Creek and Boundary Springs Trails are closed until further notice due to potentially hazardous conditions created by the Middle Fork Fire. The Pacific Crest Trail through the park is now completely open for hikers.",2024-09-13 23:30:17.0,https://inciweb.wildfire.gov/incident-information/orclp-middle-fork-fire
Cuyahoga Valley,cuva,Towpath and Valley trails south of Red Lock,Park Closure,"Trails will be temporarily closed between Red Lock Trailhead and Brandywine Creek from Monday, March 3, to Friday, May 2, 2025 for installation of a new Brandywine Creek culvert. No detour is available.",2025-02-24 08:25:40.0,https://www.nps.gov/cuva/learn/news/20250220-towpath-trail-closure-brandywine-culvert.htm
Cuyahoga Valley,cuva,Expect Crowding,Information,Parking lots and popular destinations are crowded especially on weekends and days with warm weather between 10 am and 3 pm.,2024-09-24 10:09:27.0,
Cuyahoga Valley,cuva,Current East Rim Trail Status,Information,"Click ""more"" to find out if the East Rim trails are open today. In good conditions the trails are open 6 am-11 pm for bikers and as posted for other trail users. In wet or hazardous conditions, the trail will close to all users to prevent damage.",2024-09-24 10:04:22.0,https://twitter.com/cvnpmtb
Cuyahoga Valley,cuva,Vehicle Break-in and Theft Warning,Caution,"Car break-ins in Cuyahoga Valley have tripled since 2022, resulting in theft of personal items like credit cards. Do not leave valuables in your car. As a last resort, lock items in your trunk before arriving. Thieves target parking lots regularly.",2023-09-27 15:24:02.0,https://www.nps.gov/cuva/planyourvisit/safety.htm
Cuyahoga Valley,cuva,Former Golf Course Property,Park Closure,"The former golf course property in Peninsula, including a section of the Valley Trail, is closed during environmental remediation.",2023-03-29 16:27:17.0,https://www.nps.gov/cuva/learn/news/national-park-service-purchases-198-acres-in-the-heart-of-cuyahoga-valley-national-park-cvnp-from-conservancy.htm
Death Valley,deva,Emigrant Canyon Rd/Wildrose Area Closed Jan 6- Apr 30,Park Closure,"Emigrant Canyon Road will be temporarily closed for repair work to minimize future flood damage. No access to: Wildrose Charcoal Kilns, campgrounds (Wildrose, Thorndike and Mahogany Flat), trails (Wildrose and Telescope Peak) or dirt sideroads.",2025-03-26 13:29:22.0,https://www.nps.gov/deva/planyourvisit/conditions.htm
Death Valley,deva,Mud Canyon Road closed 3/24 - 4/11,Park Closure,"Mud Canyon Road will be closed 3/24 - 4/11 for repairs. Access to Beatty, NV and Daylight Pass Road is still open via Beatty Cut-Off Road.",2025-03-26 13:28:53.0,
Death Valley,deva,Gas Pumps at Panamint Springs Resort are Closed at Night,Information,"Gasoline is available at Panamint Springs Resort from 7am-9:30pm, daily. Gas is available at Furnace Creek and Stovepipe Wells 24hrs.",2025-01-27 12:37:06.0,
Denali,dena,Road Open To: Mile 13 (Mountain Vista),Information,"The Denali Park Road is open to Mile 13, Mountain Vista. Wintry conditions beyond that point prevent vehicle travel, though pedestrian travel is permitted.",2023-09-27 15:04:21.0,
Denali,dena,Park Operations Altered Due to Pretty Rocks Landslide,Park Closure,Summer access to facilities and services in Denali remains altered due to the Pretty Rocks Landslide and the associated closure of the Park Road at Mile 43. Check here for more information on what to expect.,2022-09-19 14:11:22.0,https://www.nps.gov/dena/planyourvisit/conditions.htm
Dry Tortugas,drto,Bush Key is closed until Fall 2025,Park Closure,Bush Key (including the shoreline beyond the seaplane) is closed to support breeding and nesting activities colonies of Sooty Terns and Brown Noddies. The island will reopen in the fall.,2025-03-17 08:14:56.0,https://www.nps.gov/drto/planyourvisit/bush-key.htm
Dry Tortugas,drto,Moat Wall is closed for repairs until Fall 2026,Park Closure,The entire moat wall will be closed for repair and strengthening of the Fort Jefferson counterscarp (moat wall) damaged by Hurricane Irma in 2017 and Hurricane Ian in 2022. Additional damage occurred from hurricanes in 2024.,2024-10-24 12:44:25.0,
Dry Tortugas,drto,Migrant Notice,Information,"Like elsewhere in the Florida Keys, we have seen an increase in Cuban migrants arriving by boat from Cuba and landing on the islands of Dry Tortugas National Park. You may observe migrant landings at the park and visitor areas may be impacted.",2024-09-24 20:28:15.0,
Dry Tortugas,drto,Garden Key Harbor Light,Caution,Vessel operators - the Garden Key Harbor Light is undergoing repairs and is extinguished. At this time it is unknown when the light will again be illuminated.,2017-08-17 14:16:47.0,
Everglades,ever,"Click on ""view all alerts"" below for important details on accessing the park",Park Closure,"Construction on Tamiami Trail may cause minor delays. If you have a scheduled tour, please plan accordingly. Smoke impacts from park wildfires are possible along Main Park Road. Please use caution.",2025-03-28 09:49:10.0,
Everglades,ever,Pa-Hay-Okee Overlook Trail closed for replacement project until Fall 2025,Park Closure,"The Pa-Hay-Okee boardwalk trail, tower and parking lot will be closed for a replacement project until the fall. This is to replace aging infrastructure. The road remains open as a turnaround.",2025-03-17 08:30:55.0,
Everglades,ever,Paurotis Pond is closed for wading bird nesting season until Summer 2025,Park Closure,"Paurotis Pond, including the boat launch, the pond, and the area beyond the parking area adjacent to the pond, is closed until further notice to limit human disturbance to nesting wading birds like Great Egrets. The parking lot remains open for viewing.",2025-03-17 08:27:29.0,
Everglades,ever,Gulf Coast canoe/kayak launch and visitor center closed during construction,Park Closure,"Alternate launch sites for backcountry access include the Rod & Gun Club, Outdoor Resorts of Chokoloskee, and Chokoloskee Island Park and Marina. Fees at these sites vary. Call the park information line at 305-242-7700 for more information.",2024-05-08 14:59:27.0,https://www.nps.gov/ever/learn/news/gulf-coast-site-closure-2024.htm
Everglades,ever,Road construction on approach to park's Homestead entrance,Caution,"Roadwork is underway along State Road 9336 leading to the Homestead entrance of the park, approaching the Ernest F. Coe Visitor Center. Drivers may experience short delays and should watch for personnel, construction equipment, and slowdowns.",2023-12-12 09:31:22.0,
Everglades,ever,Roadwork may cause delays on US 41/Tamiami Trail,Caution,"Current roadwork is ongoing along the park's northern boundary on US Highway 41/Tamiami Trail to raise the road for Everglades Restoration benefits. Drivers may experience up to 15-minute delays and should watch for personnel, equipment and slow downs.",2023-04-20 18:00:07.0,
Everglades,ever,"For entrance fees, we accept digital passes and credit/debit cards",Information,Digital passes or credit/debit cards are the ONLY method of payment at all fee collection areas. Pre-paid digital passes are available online and may be purchased in advance.,2023-02-08 11:51:02.0,https://www.nps.gov/ever/planyourvisit/fees.htm
Gates of the Arctic,gaar,Operational Changes,Information,"The Fairbanks Alaska Public Lands Information Center will be closed Saturdays and Sundays. At this time, we are unable to accommodate mail requests for information. If you have questions or an urgent need, please contact us at (907) 459-3730.",2025-02-20 18:14:36.0,https://www.nps.gov/gaar/planyourvisit/visitorcenters.htm
Gateway Arch,jeff,Old Courthouse Closed for Renovations,Park Closure,"The Old Courthouse at Gateway Arch National Park is undergoing renovations as part of the $380-million CityArchRiver project, which is the largest public-private partnership in the history of the National Park Service. It is closed to all visitors.",2023-03-14 13:01:16.0,https://www.nps.gov/jeff/planyourvisit/old-courthouse-renovation.htm
Grand Canyon,grca,"Tuesday, April 1, 2025 - Chance of Snow —South Rim High 46°F (8°C) —Low: 21°F (-6°C)",Park Closure,"Trail Alerts and Closures: Bright Angel Trail below Havasupai Gardens, including the Silver Bridge CLOSED. River Trail CLOSED. Plateau Point and Plateau Point Trail CLOSED. Hikers visit this link for weather forecast and inner canyon water availability.",2025-04-01 00:50:07.0,https://www.nps.gov/grca/planyourvisit/key-messages.htm
Grand Canyon,grca,"What's Closed and What's Open? (Park Operational Updates) Tuesday, April 1, 2025",Park Closure,South Rim Visitor Center is open today from 9 am to 4 pm. Follow link for a list of visitor services with hours of operation. Midday South Entrance lines are long. Arrive before 9 am or after 4 pm for shorter wait times. The North Rim reopens on May 15.,2025-04-01 00:38:54.0,https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm
Great Basin,grba,Cave tours offered as available,Information,"Through April 13th, tours of Lehman Caves will be offered as staffing permits, on a walk-up basis. Inquire about daily availability at the Lehman Caves Visitor Center.",2025-03-25 13:17:38.0,
Great Basin,grba,Cashless Operations,Information,Great Basin National Park operations have become cashless effective 03/01/2025. Campgrounds accept payment via recreation.gov or you can pay with credit/debit at the Lehman Caves Visitor Center. Cave tours accept credit/debit for walk-up tickets.,2025-03-03 14:05:03.0,
Great Basin,grba,Wheeler Peak Scenic Drive Winter Closure,Park Closure,"The Wheeler Peak Scenic Drive is closed at mile 3, Upper Lehman Creek Campground, for the winter season. For information on other closures, click more...",2024-11-07 11:26:43.0,https://www.nps.gov/grba/planyourvisit/conditions.htm
Great Basin,grba,No Potable Water in Park Campgrounds,Caution,"There currently is no water available in any campground in Great Basin National Park.  Water is available at the Lehman Caves Visitor Center, Great Basin Visitor Center, and local businesses.  ",2024-10-12 11:50:41.0,
Great Sand Dunes,grsa,Traction Devices Recommended for Mosca Pass Trail,Caution,"Due to slush and spring snowmelt water that freezes at night, there are currently icy sections at higher elevations of the Mosca Pass Trail. Traction devices are recommended for safety. This alert does not affect dunes exploration.",2025-03-26 18:12:00.0,https://www.nps.gov/grsa/planyourvisit/hiking.htm
Great Smoky Mountains,grsm,Seasonal closures in effect for some park roads,Park Closure,"Kuwohi Rd (formerly Clingmans Dome Rd), Parson Branch Rd, Rich Mountain Rd, Little Greenbrier Rd to the schoolhouse, and Roaring Fork Motor Nature Trail are closed for the season.",2025-03-28 14:46:11.0,https://www.nps.gov/grsm/planyourvisit/seasonalroads.htm
Great Smoky Mountains,grsm,High Fire Danger and Fire Ban,Danger,"Due to high fire danger throughout the park, a fire ban has been put into place. As a result, the lighting of campfires and charcoal grills is not allowed at this time.",2025-03-22 11:29:58.0,https://www.nps.gov/grsm/learn/news/parkwide-fire-ban-in-great-smoky-mountains-national-park-march-3-2025.htm
Great Smoky Mountains,grsm,Cosby Entrance Road closed for construction,Park Closure,"Rehabilitation began on December 9 for the 2.3-mile-long Cosby Entrance Road from TN State Route 32 to the gate of Cosby Campground. While crews are working, the entrance road is closed to the public. The work is projected to be completed in spring 2025.",2024-12-11 07:26:48.0,https://www.nps.gov/grsm/learn/news/great-smoky-mountains-national-park-to-rehabilitate-cosby-entrance-road.htm
Great Smoky Mountains,grsm,Most visitors need a parking tag,Information,"All vehicles parking for longer than 15 minutes require a parking tag. Three tag durations are available for purchase for all vehicle sizes and types: Daily ($5), Weekly ($15), or Annual ($40).",2024-02-08 13:03:57.0,https://www.nps.gov/grsm/planyourvisit/fees.htm
Guadalupe Mountains,gumo,Guadalupe Mountains National Park Moves to “High” Fire Danger Rating,Danger,"In addition to park fire regulations: . Smoking limited to inside a vehicle. · No open fires (this includes wood, charcoal and/or gas fire pits) are permitted anywhere in the park. · Use of gas canister stoves for cooking are still allowed at this time",2025-03-06 15:53:53.0,
Guadalupe Mountains,gumo,Williams Ranch Road Closed,Information,The Williams Ranch Road is currently impassable and closed to public access due to unsafe conditions.,2024-02-01 17:37:05.0,https://www.nps.gov/thingstodo/gumo_drive_to_williams_ranch.htm
Guadalupe Mountains,gumo,Devil's Hall is a Strenuous Hike,Caution,The hike to Devil's Hall is rated as strenuous. The portion of the route in the wash requires rock scrambling and is dangerous when wet or if water is present. The wash surface is loose gravel and rocks and may be unstable.,2022-12-02 13:09:34.0,https://www.nps.gov/thingstodo/gumo_hike_devils_hall_trail.htm
Haleakalā,hale,Portion of Kekaulike Avenue in Kula to close for approximately nine months,Information,"A portion of Kekaulike Avenue (Route 377) between Waiakoa Road and ʻAlae Road will be closed for 24 hours, seven days a week, for approximately nine months.",2024-10-30 15:51:27.0,https://hidot.hawaii.gov/blog/2024/08/30/portion-of-kekaulike-avenue-in-kula-to-close-for-approximately-nine-months/
Haleakalā,hale,Drive Cautiously - Endangered Birds on Roadway,Information,"Nēnē (Hawaiian geese) and ʻuaʻu (Hawaiian petrel) are nesting in the park and may land on or frequent park roads, parking lots, and road leading up to the park. Drivers are reminded to drive at the posted speed limits and exercise caution.",2023-08-17 19:27:14.0,
Hawaiʻi Volcanoes,havo,Kīlauea eruption,Danger,The eruption within Halema'uma'u crater at the summit of Kīlauea volcano ended on 3/26/25. No molten lava or night time glow is visible at this time. Volcanic activity can change at any time. Stay out of closed areas.,2025-03-27 14:02:20.0,https://www.nps.gov/havo/planyourvisit/safety.htm
Hawaiʻi Volcanoes,havo,Kīlauea Visitor Center (KVC) Closed for Extensive Renovation,Park Closure,The Welcome Center is now open at Kilauea Military Camp while the Kīlauea Visitor Center undergoes renovations. Park rangers and the Hawaiʻi Pacific Parks Association park store are available from 9 a.m. to 4:45 p.m. daily.,2025-03-14 21:27:31.0,https://www.nps.gov/havo/planyourvisit/welcome-center.htm
Hawaiʻi Volcanoes,havo,Small void at Wahinekapu (Steaming Bluff),Caution,A steam vent about 3 inches wide has opened in the ground near the overlook at Wahinekapu/Steaming Bluff and is emitting scalding hot steam. A small area near the overlook is roped off for safety.,2025-02-24 15:18:23.0,
Hawaiʻi Volcanoes,havo,Construction Closures and Delays,Park Closure,Expect closures and delays at the summit of Kīlauea due to a two-year construction project to repair or remove damaged buildings and infrastructure.,2024-02-01 19:42:38.0,https://www.nps.gov/havo/planyourvisit/construction-closures.htm
Hawaiʻi Volcanoes,havo,Yellow Jacket (Vespula) Wasp Activity,Caution,"Be aware of aggressive ground-nesting vespula wasps. When threatened, leave the area. If stung and you begin to experience serious symptoms or allergic reactions, call 911.",2023-06-28 19:42:47.0,
Indiana Dunes,indu,Temporary Trail Closure,Park Closure,"Paul H. Douglas Trail is closed today, March 27, 2025.",2025-03-27 10:41:25.0,
Indiana Dunes,indu,Partial Closures of Calumet Bike Trail,Caution,"Due to recent re-construction efforts, partial closures of the Calumet Bike Trail will be in effect through this fall and sometime next year. Please use caution if riding on the trail (see below) and off the trail (because of the closures).",2024-06-28 09:57:58.0,https://www.nps.gov/indu/planyourvisit/biking.htm
Indiana Dunes,indu,Partial Trail Closure at Portage Lakefront and Riverwalk,Information,Closed portion of Portage Lakefront and Riverwalk Trail along Burns Waterway due to unsafe conditions from erosional damage. This trail portion will remain closed while funding is sought for repair work. Pier access remains open on either side of closure.,2023-06-27 11:28:03.0,
Isle Royale,isro,Island Closed from November 1 through April 15 Annually,Park Closure,"From November 1 - April 15 annually, Isle Royale and its surrounding islands are closed to all visitors. Lake Superior waters are open to boaters. All islands reopen April 16. Call (906) 482-0984 to discuss trip planning, obtain permits, or pay fees.",2024-11-20 15:19:47.0,
