wiki_name,parkCode,campground_name,description,lat,lon,numberOfSitesReservable,reservationInfo,amenities,operatingHours
Big Bend,bibe,Rio Grande Village RV,"Open, paved lot with grassy, tree-lined edges. Adjacent to the Rio Grande Village camp store. This campground, operated by Aramark, has the only full hook-ups in the park. 25-site RV park (full hook-ups—water, electrical, and 3-inch sewer connection). All sites are back-in only. Tents are NOT permitted. Operated by the park's concessioner, Aramark. Periodically, a few sites may not be available for a 38' or longer RVs due to the size of the parking lot and orientation of the spaces.",29.1831689600897,-102.963812137708,25,Please Plan Ahead: Reservations are required. You MUST call 855.765.1324 to prearrange camping at this facility.,,"Open year round. 25 campsites. Concession-operated RV park with full hook-ups (water, electrical, sewer)."
Biscayne,bisc,Boca Chita Campground,"Boca Chita campground is located on an island. The only access is by boat. No services are available. Boca Chita Key features an iconic lighthouse and an open, waterside, grassy camping area with picnic tables and grills. Toilets are available, but there are no sinks, showers or drinking water. The harbor entrance at low tide is approximately four feet deep. Pets, with the exception of service animals as defined by the ADA, are not permitted on the island or boats in the harbor.",25.5231,-80.1746,60,"No reservations may be made in advance for the main campgrounds. The campgrounds are available on a first-come, first-served basis.",,"There are two campgrounds in Biscayne National Park. Both are located on islands, Elliott Key and Boca Chita Key. The only access to these islands is by boat. No services are available on the islands. All camping and docking fees are waived from May 1 to September 30 every year. Expect heavy populations of insects during the warmer months."
Biscayne,bisc,Elliott Key Campground,"Elliott Key campground is located on an island. The only access is by boat. Elliott Key features waterside and partially forested camping areas, picnic tables, and grills. Restrooms with sinks and cold water showers are available. A mile-long loop hiking trail starts near the campground. Another walking trail, the infamous ""Spite Highway"" runs approximately six miles down the center of the island. At low tide, the depth of the entrance to the marina is approximately 2 1/2 feet.",25.4535845128,-80.1958850931,20,,,Campgrounds Open 24 hours a Day
Black Canyon of the Gunnison,blca,East Portal Campground,"The East Portal Campground is located within Curecanti National Recreation Area, but is adjacent to and only accessible from Black Canyon of the Gunnison National Park, where the entrance fee is $30. The campground is located at the bottom of the canyon, along the Gunnison River. It is a small campground shaded by box elder trees. East Portal Road is closed to vehicles but open to pedestrians and cyclists in winter. The Bureau of Reclamation determines when the East Portal Road closes. Elevation: 6526 feet",38.526896,-107.649306,15,"Sites are first come, first served. Scan & Pay feature is also available for campsite payment.",,"Campground is open 24 hours in the summer. Check out time is 1 pm.  The campground is typically open May to mid-October, weather permitting, and when the East Portal road is open. Water is typically available mid-May to mid-September (after the last frost of spring and the first frost of fall)."
Black Canyon of the Gunnison,blca,North Rim Campground,"The North Rim campground is remote and has 13 sites dispersed among pinyon and juniper trees. Sites available on a first-come, first-served basis. The last 7 miles of the North Rim Road and the campground road are unpaved. Services are very limited. To protect vegetation and forest resources, please use designated tent pads and do not tie, hang, or attach anything to trees. Maximum combined length of RV, car and/or trailer is 22 feet. Generators are prohibited. Elevation: 7767 ft (2367.4 m).",38.5851833287,-107.709427771,13,Reservations are not accepted for the North Rim Campground.,,"Fills often from Spring to Fall. Closed in winter and early spring (when road closes). Condition-depending, usually opens in late April or early May."
Black Canyon of the Gunnison,blca,South Rim Campground,"The South Rim Campground is located one mile from the South Rim Visitor Center. Reservations may be made on recreation.gov. Sites are fairly close together and partially shaded by Gambel oak and serviceberry bushes. Only Loop B offers 20 and 30 amp electric hookups. During the warm season, drinking water is available, but there are no showers or dish cleaning stations, and no water for RV tanks. Elevation: 8372 ft (2551.8 m)",38.54381032369547,-107.68942406197539,88,All sites in all loops are reservable through recreation.gov. Only loop B is open in winter.,,"Campground is open 24 hours a day, all year. Check out time is 11 am. Water is limited and typically only available mid-May to mid-September (after the last frost of spring and the first frost of fall). In the winter, only Loop B is open (has electricity)."
Bryce Canyon,brca,North Campground,"Located across the road from the Visitor Center and is comprised of 100 sites in 4 loops; A, B, C, D. Loops A & B are for RV campers. Loops C & D are for tent campers. There are no sewer, water or electrical hook-ups available. A dump station is available in summer months near North Campground; use is included with campsite fee. Potable water is available near the dump station. North Campground is close to the Visitor Center, General Store, and Fairyland Loop/Rim Trail.",37.638096,-112.167922,100,North Campground is open year-round. You can find annual season dates and reservation information at go.nps.gov/BryceCamping,,"North Campground is open 24 hours a day, year-round, weather permitting. Typically, from October 5-December 31, only Loops A & B are open. From January 1-April 15th (with the exception of a break in winter weather) only Loop A is open.
 
In general, check in and check out are at 11:30 am. Quiet hours are from 10 pm to 8 am."
Bryce Canyon,brca,Sunset Campground,"Located west of Sunset Point, approximately 1.5 miles south of the Bryce Canyon Visitor Center, and is comprised of 99 sites in 3 loops; Loop A is primarily for RVs; Loops B & C are tent-only. There are no sewer, water or electrical hook-ups available. A dump station is available in summer months near North Campground; use is included with campsite fee. Potable water is available near the dump station. Sunset Campground is close to Sunset Point and has a shuttle stop at its entrance.",37.6222868282,-112.174839007,99,Sunset Campground is closed in winter. Annual season dates and reservation information can be found at go.nps.gov/BryceCamping,,"Open April through October, weather dependent. Closed in Winter. See dates in Reservation section.
When open, Sunset Campground is open 24 hours a day. Check out is at 11:30 am. Quiet hours are from 10 pm to 8 am."
Canyonlands,cany,Island in the Sky (Willow Flat) Campground,"Island in the Sky Campground (Willow Flat) has 12 sites, first-come, first-served. The campground is open year-round. The spectacular Green River Overlook is nearby. Nightly camping fee is $15 per site. Sites fill quickly spring through fall. There are toilets, picnic tables, and fire rings in the campground. There is no water at the campground. You can get drinking water outside the visitor center spring through fall.",38.383380719,-109.888129255,12,"All sites are first-come, first-served. We do not take reservations. Campsites fill most days spring through fall.",,"Island in the Sky Campground is normally open daily, year-round."
Canyonlands,cany,The Needles Campground,"The Needles Campground has 26 individual sites. Nightly camping fee for an individual site is $20. You can reserve some individual sites spring through fall. Other times of the year, individual sites are first-come, first-served. There are toilets, picnic tables, and fire rings in the campground. This park district also has three group campsites described on a separate page.",38.146595831,-109.801216334,26,"You may book individual campsites in Loop B up to six months in advance for nights between March 15 and November 15. Make reservations online here or by calling Recreation.gov at 1-877-444-6777. Loop A is available first come, first served only. Group sites are open March 15 through November 15. You may reserve these sites up to six months in advance. Group sites are closed in winter.",,"Individual sites at The Needles Campground are normally available year-round. Loop A is open year-round. During winter when The Needles is less busy, Loop B is closed. Group campsites are open March 15 through November 15."
Canyonlands,cany,The Needles District Group Campsites,"The Needles district has three group campsites in different locations, which can accommodate up to 15, 25, or 50 campers (respectively). Group campsites may be reserved for nights between mid-March and mid-November.",38.145232018,-109.802527659,3,You may book group campsites up to six months in advance throughout the season: March 15 – November 15.,,
Capitol Reef,care,Backcountry Camping,"A free backcountry permit, available at the visitor center, is required for camping outside of campgrounds. Capitol Reef offers many hiking options for serious backpackers and those who enjoy exploring remote areas. For more information on possible backpacking routes, route descriptions and maps are available on our hiking and backpacking page.",,,0,,,
Capitol Reef,care,Fruita Campground,"The 71 site Fruita campground is the only developed campground in the park, offering picnic tables, fire rings, restrooms, water and a dump station. A $25 nightly fee is charged. It is open year-round. Campsites are reservable year-round; visit www.recreation.gov to make a reservation. Reservations are accepted 6 months ahead of time. The busy season is mid March through October when the campground is typically fully booked. In the winter, there is less demand and it is easy to secure a campsite.",38.282560738471595,-111.24809793460088,71,"The 71 site Fruita campground is the only developed campground in the park, offering picnic tables, fire rings, restrooms, water and a dump station. A $25 nightly fee is charged. It is open year-round. Campsites are reservable year-round; visit www.recreation.gov to make a reservation. Reservations are accepted 6 months ahead of time. The busy season is mid March through October when the campground is typically fully booked. In the winter, there is less demand and it is easy to secure a campsite.",,"The campground is open year round. Campsites are reservable year-round; visit www.recreation.gov to make a reservation. Reservations are accepted 6 months ahead of time. The busy season is mid March through October when the campground is typically fully booked. In the winter, there is less demand and it is easy to secure a campsite."
Capitol Reef,care,Group Campsite,The Group Campsite is a secluded site located near the Fruita Campground and can accommodate a maximum of 40 people. It may be reserved through www.recreation.gov up to one year in advance. The Fruita Group Campsite is open from mid-April to mid-October. It is closed every Tuesday and Wednesday nights for maintenance. The nightly rate is $125.,38.2789,-111.2514,1,"The Group Campsite is a secluded site located near the Fruita Campground. It may be reserved through www.recreation.gov. The Group Campsite is reservable on a 12-month rolling basis starting the day of arrival. For example, on April 20, 2021 campsite availability will be released through April 20, 2022. This change is designed to allow the users greater flexibility with their bookings needs.",,
Capitol Reef,care,Primitive campsites at Cathedral Campground,"It is located approximately halfway on the Cathedral Valley Loop Road. About 36 miles (57.9 km) from the visitor center, this primitive, no-fee campground has 6 sites, each with a picnic table and fire grate. There is a pit toilet, but no water available. The campground is open year-round; however, visitors should check road conditions with the Capitol Reef Visitor Center prior to planning an overnight stay. The campground is at ~7,000 feet (2,133 m) in elevation, No reservations; first-come, first-served.",38.4746,-111.3673,6,"About 36 miles (57.9 km) from the visitor center, this primitive, no-fee campground has six (6) sites, each with a picnic table and fire grate. There is a pit toilet, but no water available. The campground is open year-round, but could be inaccessible due to weather. Visitors should check road conditions with the Capitol Reef Visitor Center (or call the information line) prior to planning an overnight stay. The campground is at approximately 7,000 feet (2,133 m) in elevation, in the Pinyon/Juniper-clad foothills of Thousand Lake Mountain. No reservations; first-come, first-served.",,
Capitol Reef,care,Primitive campsites at Cedar Mesa Campground,"It is located approximately 23 miles (37.0 km) south of Utah State Highway 24 on the Notom-Bullfrog Road and is at 5,500 feet (1,676 m) in elevation. This primitive, no-fee campground has five sites, each with a picnic table and fire grate. There is also a pit toilet, but no water is available. The campground is open year-round, but visitors should check with the Capitol Reef Visitor Center for road conditions prior to planning an overnight stay. No reservations; first-come, first-served.",38.0073,-111.0846,5,"This primitive, no-fee campground has five (5) sites, each with a picnic table and fire grate. There is also a pit toilet, but no water is available. The campground is open year-round, but visitors should check with the Capitol Reef Visitor Center for road conditions prior to planning an overnight stay. No reservations; first-come, first-served.",,
Channel Islands,chis,Anacapa Island Campground,"Primitive camping is available (seven sites; $15 per night per site; reservations required). Picnic table, food storage box, and pit toilet are provided. No water is available. Distance from landing to campground is one-half mile and includes a 157-stair climb. WARNING: Western gulls nest on Anacapa Island From April through mid-August. During this time, visitors will encounter seabird rookery conditions: guano, strong odor, constant noise, bird carcasses, and birds protecting their territory.",34.0143426535,-119.367763068,7,"Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 is charged for camping on the islands. For six of the sites, this fee covers up to four people. For one of the sites, it covers up to six people. Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/",,Anacapa Island campground is open year round.
Channel Islands,chis,San Miguel Island Campground,"Primitive camping is available (nine sites; $15 per night per site; reservations required). Wind shelter, picnic table, food storage box, and pit toilet are provided. No water is available. Distance from landing to campground is one mile up a steep canyon (400 ft. climb).",34.0407937958,-120.349462009,9,"Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 per site-per night is charged for camping on the islands. For Santa Miguel Island, this fee covers up to four people. Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/.",,San Miguel Island campground is open year round.
Channel Islands,chis,Santa Barbara Island Campground,"Primitive camping is available (seven sites; $15 per night per site; reservations required). Picnic table, food storage box, and pit toilet are provided. No water is available. Distance from landing to campground is one-quarter mile and includes a steep climb.",33.4800017203,-119.029461163,10,"Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 per site-per night is charged for camping on the islands. For Santa Barbara Island, this fee covers up to four people.Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/.",,Santa Barbara Island campground is open year round.
Channel Islands,chis,Santa Cruz Island Del Norte Backcountry Campground,"The Santa Cruz Island Del Norte Backcountry Campground is currently the only backcountry campground on Santa Cruz Island. The hike to the campground is 3.5 miles from Prisoners Harbor and 12 miles from Scorpion Anchorage. It has four primitive campsites (four persons per site) and users must camp within these designated sites.Reservations are required ($15 per night-per site). A picnic table, food storage box, and pit-style toilet are provided (campers must bring their own toilet paper).",34.011074969,-119.66034054,4,"Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 per site-per night is charged for camping on the islands. For the Santa Cruz Island Del Norte Backcountry Campground, this fee covers up to four people. Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/.",,Santa Cruz Island Del Norte Backcountry Campground is open year round.
Channel Islands,chis,Santa Cruz Island Scorpion Canyon Campground,"Primitive camping is available (25 individual sites at $15 per night-per site and 6 group sites at $40 per night-per site; reservations required). Picnic table, food storage box, potable water, and pit toilet are provided. Distance from landing to campground is one-half mile.",34.0480064916,-119.56112541,31,"Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 per site-per night is charged for camping on the islands.",,Santa Cruz Island campground is open year round.
Channel Islands,chis,Santa Rosa Island Backcountry Beach Camping,"Backcountry camping on Santa Rosa Island is currently limited to certain beaches between August 15th and December 31st. Hiking is along the beach and rugged, unsigned (and sometimes unmaintained) dirt roads. The closest beach for camping is 8 miles from the boat/plane drop-off location. Reservations are required ($10 per night-per site). No services are provided.This is primitive, dispersed, backcountry camping. Visitors must backpack to all locations and carry all of their own gear, food and water.",33.885295509365314,-120.11494221408148,30,"Advanced camping reservations are required for all camping in the park. There are no entrance fees to visit the park. However, a reservation fee of $10.00 per site-per night is charged for backcounrty beach camping on Santa Rosa Island. This fee covers up to four people. Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/.",,"January 1 - August 14 
Backcountry beach camping is closed to protect pupping seals/sea lions and nesting seabirds.

August 15 - September 15 
Only East Point to South Point Beaches (Southeast Quadrant) are open to backcountry camping for boaters, kayakers, and backpackers.

September 16 - December 31 
Southeast, Southwest, and Northwest Quadrant beaches are open to backcountry camping. Beaches around Sandy Point, at Lobo Canyon, and Northeast Quadrant beaches (between Carrington"
Channel Islands,chis,Santa Rosa Island Campground,"Primitive camping is available (15 sites; $15 per night per site; reservations required). Wind shelter, picnic table, food storage box, toilet, and potable water are provided. Distance from landing to campground is 1.5 miles from the pier and .25 miles from the airstrip.",33.9918639134,-120.047413236,15,"Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 per site-per night is charged for camping on the islands. For Santa Rosa Island, this fee covers up to five people. Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/.",,Santa Rosa Island campground is open year round.
Congaree,cong,Bluff Campground,"The Bluff Campground is a hike in campground and is perfect for those looking to camp in the frontcountry yet have a more backcountry experience. This campground has 6 sites that can accommodate up to 8 campers each. Each site has a firepit and a picnic table. Restrooms are available at either the visitor center or the Longleaf Campground, and water and park information is available at the visitor center. This is a pack it in/pack it out campground.",33.8323062465,-80.8148872735,6,"All sites are available for reservation. All fees are collected online, and not onsite.",,Campground is open year round and all sites are available for reservation.
Congaree,cong,Longleaf Campground,"The Longleaf Campground offers walk up campsites for visitors wishing to camp in the frontcountry of Congaree. Campers may park and walk to their site. All campsites have a firepit and picnic table, and the campground has two vault toilets. 10 sites are for individuals or small groups of up to 8 people, while 4 sites are designated for larger groups from 9 to 24 people. The campground is a short drive from the visitor center, where running water is available, as well as park information.",33.8357177462,-80.827397673,14,"All sites are available for online reservation. Those wishing to camp must reserve a site online. All fees for campsites are collected online, and no fees for campsites are collected on site.",,Campground is open for use and sites are available for reservation year round.
Crater Lake,crla,Lost Creek Campground,"CLOSED ALL YEAR 2024 Lost Creek Campground is managed by the National Park Service. It usually opens in early July and closes in mid-October, depending on weather and other factors. It is for tent campers only--NO RVs, buses, trailers, or vans and truck with toilets. Registration is self-serve on the day of arrival. No advance registration is available. The campground fills by mid-afternoon. The only means of knowing site availability is upon arrival at the campground. The elevation 6,000 ft. (1,829 m).",42.8797493937,-122.038711217,16,"Lost Creek Campground has 16 sites for tents only. Registration is self-serve on the day of arrival. No advance registration is available. Payment can be made by check or exact cash. Credit cards are not accepted. Senior and Access pass holders are eligible for a 50% discount. The only means of knowing site availability is upon arrival at the campground. The campground typically fills up, so arrive early to secure a site.",,"CLOSED ALL YEAR 2024 Lost Creek Campground is located on Pinnacles Road, about 12 miles from park headquarters. The campground opens once snow and debris are removed East Rim Drive and Pinnacles Road, and portable toilets are delivered. The opening date is generally July 1. Closing dates shift depending on weather forecasts and other conditions (i.e. hazard or downed trees, road closures) which may require an earlier closing than the established date."
Crater Lake,crla,Mazama Campground,"Mazama Campground is open only in summer. It typically opens in June and closes in late September. The exact opening and closing dates are determined each year by the snow level in the camp sites, safety issues, and other factors. The campground is nestled in an old-growth forest at 6,000 ft. (1,829 m) in elevation. There are 214 sites each with a picnic table, fire ring, and bear-resistant food locker. The concessioner, ExplorCraterLake, manages the campground. For more details go to reservations.",42.86862146054785,-122.1677826463598,214,"From the opening date (dependent on snow removal), all accessible sites are first come first serve through June 30. From July through September, all sites are available by reservation only, online (reservation button below). If no tent sites are available, tent campers may reserve an RV site at the posted fee for that site. Parking areas at tent sites cannot accommodate RVs, so RV campers may not rent tent sites. For complete details use the reservation button to go rec.gov or go to the ExplorUS website at https://explorecraterlake.com/stay-at-crater-lake/mazama-campground/.",,"Opening and closing dates for Mazama Campground are determined each year by the snow level in the camp sites, safety issues, and other factors. It usually opens in June and closes in late September. Not all campground loops open at once. Check in is after 4 pm. Check out is before 11 am. Generators are allowed between 8 am and 8 pm. Campground quiet hours are 10 pm to 7 am. For more information visit the concessioner's website at https://www.explorecraterlake.com/lodging-camping/mazama-campground/.

."
Death Valley,deva,Emigrant Campground,"First-come, first-served tent-only campground with no additional fee. Located next to CA 190 at 2100' feet in elevation. Emigrant campground overlooks the Cottonwood Mountains which is a part of the Panamint Range. This is a small campground with 10 sites southwest of Stovepipe Wells Ranger Station. A building with flush toilets is 270 feet down a dirt trail just outside of the campground.",36.49652164975486,-117.22707243634392,10,"All sites are first-come, first-served.",,Open year round. First come first serve.
Death Valley,deva,Eureka Dunes Campground (Primitive),"Remote campground at the base of Eureka Dunes (the tallest sand dunes in California and home to several endemic plant species). This campground is located at 2,880ft and is only accessible to high-clearance vehicles. Please drive only on existing roads and tread lightly on the dunes to protect this fragile and unique environment.",37.112,-117.6809,7,All sites first-come-first-served.,,"Open year-round, first-come-first-served. Camping here during summer months is not recommended due to high temperatures."
Death Valley,deva,Furnace Creek Campground,"Located near Furnace Creek Visitor Center, Furnace Creek Campground is the only NPS campground in the park that accepts reservations and has sites with full RV hookups as well as dry RV and tent sites. Reservations can be made up to 6 months in advance for camping dates between 10/15 and 4/15; the remainder of the year the campground is first-come-first-serve. This is the most popular campground in the park and reservations are strongly recommended.",36.4657541511,-116.868157544,136,"Reservations are accepted from October 15 to April 15; the remainder of the year, the campground is first-come-first-serve. Make reservations from 5 days to 6 months in advance by calling 877-444-6777 or visiting www.recreation.gov. Note: The NPS reserves the right to hold reserved sites at any time due to management needs.",,"Open year round, but reservations are accepted only from October 15 to April 15. During the summer months, some loops within the campground close."
Death Valley,deva,Homestake Campground (Primitive),"Extremely remote campsite at 3,785ft of elevation, accessible only by high-clearance vehicles with all-terrain tires. Access from Saline Valley Road requires navigating Lippincott Pass and should only be attempted by experienced 4-wheel drivers. There are no approved toilet facilities at this location and no water available. Pack in all that you need, pack out all that you bring.",36.6376,-117.5738,10,No Reservations,,"Open year-round, first-come-first-served."
Death Valley,deva,Mahogany Flat Campground (Primitive),"***Closed through April 30th, 2025 due to extensive road construction on Emigrant Canyon Road. May still be impacted by snowy/icy conditions in late spring. First-come, first-served primitive campground with no additional fee located in a Pinyon Pine and Juniper forest at 8,200' elevation. Great views down into Death Valley. Located near the Telescope Peak trailhead. Dirt road access requires high-clearance vehicles, often 4x4 required.",36.23,-117.068377,9,"This campground is first-come, first-served. No reservations are available.",,This high elevation campground is suitable for summer and fall camping. It is often closed in the winter due to snowy/icy conditions.
Death Valley,deva,Mesquite Spring Campground,"First-come, first-served campground at an elevation of 1,800 feet, located 2 miles off of the Scotty’s Castle Road below Grapevine Canyon. It is a great base camp for your adventures in the northern parts of Death ValIey National Park. It is surrounded by desert mountains and geological features. Each site has a fire grate and picnic table. There are no hook-ups available. Fee is paid at the automatic pay station at the front of the campground.",36.96364980809603,-117.36777416151699,40,"The campground is first-come, first-served. NPS reserves the right to reserve sites for management needs. Occupy your site first, then pay using the automated fee machine.",,"Open all year. All sites are first-come, first-served."
Death Valley,deva,Saline Valley Campground (Primitive),"This is a clothing-optional hot spring area approximately 35 miles from the nearest paved road. A high-clearance vehicle and all-terrain tires are necessary to access this campground and road/weather conditions may necessitate 4-wheel drive. This campground is located at 1,375ft, but requires navigating either North Pass at 7,300ft or South Pass at 5,997ft and may be inaccessible due to winter conditions.",36.8056,-117.7738,15,"No reservations, all sites are first come first served.",,"Open year-round, first-come-first-served."
