wiki_name,parkCode,name,lat,lon,description,directionsInfo,directionsUrl,url,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Big Bend,bibe,Chisos Basin Visitor Center,29.2705194325,-103.29934792,"The Chisos Basin Visitor Center includes interactive exhibits on plants, animals, and birds found in the Chisos Mountains. Backcountry and river use permits are issued during normal business hours, and entrance fees can be paid at the visitor center. A Big Bend Natural History Association bookstore and restrooms are located at the visitor center. A water faucet is available on the east side of the building for filling personal water containers","The Chisos Basin Visitor Center is located in the Basin developed area, 10 miles southwest of Panther Junction.",,https://www.nps.gov/bibe/planyourvisit/big-bend-visitor-centers.htm,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 4:00PM
Big Bend,bibe,Panther Junction Visitor Center,29.3278272156,-103.20588915,"Panther Junction Visitor Center is the best place to begin your visit. Backcountry & river use permits are issued here. Entrance fees can be paid here. Exhibits provide an overview of geology & natural and cultural histories of the park. The visitor center also has a theater with a park orientation movie shown upon request.The visitor center complex includes a Big Bend Natural History Association bookstore, U.S. Post Office, and restrooms. A water faucet is available for filling personal water containers","Panther Junction Visitor Center is located in the center of the park. It is 68 miles south of the town of Marathon, and 29 miles east of the town of Study Butte.",,https://www.nps.gov/bibe/planyourvisit/big-bend-visitor-centers.htm,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM
Big Bend,bibe,Persimmon Gap Visitor Center,29.6600396357,-103.173613458,"Located at the north entrance to the park, Persimmon Gap Visitor Center offers park orientation and information. The visitor center has exhibits, bookstore, mini-theater, and restrooms. River permits for the Lower Canyons are issued during normal business hours, and entrance fees can be paid at the Persimmon Gap Visitor Center.","The Persimmon Gap Visitor Center is located on Hwy 385, 42 miles south of the town of Marathon, Texas, and 26 miles north of Panther Junction.",,https://www.nps.gov/bibe/planyourvisit/big-bend-visitor-centers.htm,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM
Big Bend,bibe,Rio Grande Village Visitor Center,29.185260594,-102.962224896,"The Rio Grande Village Visitor Center is located 0.25 miles north of the Rio Grande Village developed area. New exhibits focus on the Rio Grande (how it has changed over time, how the NPS works with our Mexican counterparts to protect and care for it, and the rich assemblage of species that it supports). An outdoor ramada showcases a large raised-relief map of the area, and life-sized bronze sculptures showcase some of the area's special wildlife. River use permits are issued during normal business hours.","Rio Grande Village Visitor Center is located 0.25 miles north of the Rio Grande Village developed area, and 20 miles east of Panther Junction.",https://www.nps.gov/bibe/planyourvisit/directions.htm,https://www.nps.gov/bibe/planyourvisit/big-bend-visitor-centers.htm,9:00AM - 4:30PM,9:00AM - 4:30PM,9:00AM - 4:30PM,9:00AM - 4:30PM,9:00AM - 4:30PM,9:00AM - 4:30PM,9:00AM - 4:30PM
Biscayne,bisc,Dante Fascell Visitor Center,25.464444,-80.334822,"The Dante Fascell Visitor Center is located at Convoy Point, 9 miles East of the city of Homestead, Florida. A beautiful museum offers a virtual journey through the park's four ecosystems using dioramas, audio and video. Several films are available to help you learn about the park, including the 20-minute feature presentation: Connections. The Gallery highlights the works of local artists who find inspiration in the park.",From the Florida Turnpike take Exit 6 (Speedway Boulevard). Turn left from exit ramp and continue south to SW 328th Street (North Canal Drive). Turn left on 328th Street and continue for four miles to the end of the road. The park entrance is on the left just before the entrance to Homestead Bayfront Marina.,http://www.nps.gov/bisc/planyourvisit/directions.htm,http://www.nps.gov/bisc/planyourvisit/convoypoint.htm,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM
Black Canyon of the Gunnison,blca,North Rim Ranger Station,38.58703032928486,-107.70483706805055,"The ranger station is staffed periodically by climbing rangers in the summer and closed in the winter. In the summer, maps and information are available on the ranger station porch. A self-pay station for the park entrance fee and a self-registration kiosk for wilderness permits are located outside.","The North Rim is 11 miles southwest of Crawford, Colorado. From CO Highway 92, turn west on Black Canyon Road approximately 3 miles south of Crawford. Follow the road signs to the park. The last 7 miles are unpaved. The North Rim is closed to vehicles in the winter.",https://www.nps.gov/blca/planyourvisit/directions.htm,https://www.nps.gov/blca/planyourvisit/northrim.htm,All Day,All Day,All Day,All Day,All Day,All Day,All Day
Black Canyon of the Gunnison,blca,South Rim Visitor Center,38.5549915021,-107.686583816,"This visitor center has exhibits, information, book and map sales, water (available seasonally), vault toilets, and hiking trailheads. It is open year-round with the exception of Thanksgiving Day, Christmas Day, and New Years Day.",7 miles north on CO Highway 347 from the intersection with U.S. Highway 50. GPS: N 38.5550 W -107.6866,https://www.nps.gov/blca/planyourvisit/directions.htm,http://www.nps.gov/blca,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM
Bryce Canyon,brca,Bryce Canyon Visitor Center,37.6403873677938,-112.169642330719,"The Bryce Canyon Visitor Center might be one of your first stops when visiting Bryce Canyon National Park. Here you can obtain driving and hiking directions beyond those available on this website, weather forecasts, a current schedule of Park Ranger guided programs, Junior Ranger booklets, and information on area services including lodging, dining and other attractions.",The Visitor Center is located approximately one mile south from the park entrance on UT-63. From the North: Take I-15 south to UT-20 (exit 95). Travel east on UT-20 to US-89. Follow US-89 south to UT-12. Travel east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon National Park. From the South through Zion National Park: Take I-15 north to UT-9 (exit 16). Follow UT-9 east through Zion National Park to US-89. Travel north on US-89 to UT-12. Go east on UT-12 to UT-63. Take UT-63 south to the park.,http://www.nps.gov/brca/planyourvisit/directions.htm,https://shop.brycecanyon.org/,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM
Canyonlands,cany,Canyonlands Backcountry Office,38.539153,-109.51026,The central backcountry office is located at park administrative offices south of Moab. Rangers can answer questions about backcountry travel over phone or email and issue permits online.,Canyonlands administrative offices are about five miles south of Moab on US 191.,,https://www.nps.gov/cany/planyourvisit/hours.htm,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,Closed,Closed
Canyonlands,cany,Hans Flat Ranger Station,38.2560062,-110.1783739,"The remote Hans Flat (Maze) Ranger Station is normally open daily year-round. This ranger contact station has a picnic table and vault toilet, and a small selection of books and maps for sale. There are no services, food, gas, trash collection, electricity for visitor use, nor potable water in The Maze. The nearest communities with amenities are Hanksville (68 miles) and Green River (86 miles).","Getting to the Maze requires four-wheel-drive and a lot of time. To reach Hans Flat Ranger Station, from I-70 take UT 24 south for 24 miles. A left turn just beyond the turnoff to Goblin Valley State Park will take you along an unpaved, two-wheel-drive dirt road, 46 miles to the ranger station. Blowing sand dunes or precipitation can degrade the road condition at any time. Roads beyond the ranger station require high clearance and four-wheel drive year-round.",http://www.nps.gov/cany/planyourvisit/directions.htm,,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM
Canyonlands,cany,Island in the Sky Visitor Center,38.459905868,-109.82099489699999,"The Island in the Sky Visitor Center offers exhibits, book & map sales, park orientation film, backcountry permits, general information, vault toilets, and park rangers on duty. You can get drinking water inside (during open hours) or outside (24 hours a day) during summer and fall. Water is only available inside (during open hours) in winter.","On US 191, drive 10 miles north of Moab or 22 miles south of Interstate 70 (Crescent Junction), then take UT 313 southwest for 22 miles. Follow signs for Canyonlands National Park. Drive time from Moab is roughly 40 minutes to the visitor center.",http://www.nps.gov/cany/planyourvisit/directions.htm,,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM
Canyonlands,cany,The Needles Visitor Center,38.168096753,-109.75941037899997,"The Needles Visitor Center normally offers exhibits, book & map sales, backcountry permits, information, picnic area, and park rangers on duty. The park orientation movie (15 minutes) is available on demand. Water is available year-round. When the visitor center is closed in winter, you must self-register for backcountry permits outside the visitor center entrance.","On US 191, drive 40 miles south of Moab, Utah, or 14 miles north of Monticello, Utah, then take UT 211 roughly 35 miles west. Highway 211 ends in The Needles, and is the only paved road leading in and out of the area.",http://www.nps.gov/cany/planyourvisit/directions.htm,,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM
Capitol Reef,care,Capitol Reef National Park Visitor Center,38.2914727987,-111.262039748,Capitol Reef National Park visitor center sits at the intersection of UT-24 and the Scenic Drive.,"From I-70: take exit 149 then travel UT-24 west toward Hanksville and continue for 43.8 miles (70.5 km). Continue right on UT-24 west for 37.3 miles (60 km). From I-15: Take exit 188, then US-50 east toward Scipio; turn left onto UT-50 and continue for 0.7 miles (1.1 km). Turn right onto US-50 east/ North State Street and continue for 24.4 miles (39.3 km). Turn right onto UT-260 south and continue for 4.2 mile. Turn right onto UT-24 east for 74 miles. UT-12: North to UT-24. Right at Torrey.",http://www.nps.gov/care/planyourvisit/directions.htm,http://www.nps.gov/care,8:00AM - 4:30PM,8:00AM - 4:30PM,8:00AM - 4:30PM,8:00AM - 4:30PM,8:00AM - 4:30PM,8:00AM - 4:30PM,8:00AM - 4:30PM
Carlsbad Caverns,cave,Visitor Center,32.1754814177,-104.444223173,">> RESERVATIONS REQUIRED to enter cavern and must be purchased at recreation.gov or by calling 877-444-6777. The reservation is only for selecting the entry time. Entrance tickets will need to be purchased at the visitor center. << The visitor center offers many services, including a bookstore, gift shop, cafeteria, restrooms, a park movie, information desk, ticket counter, and hands-on educational exhibits.","To access Carlsbad Caverns National Park's only entrance road, New Mexico Highway 7, turn north from U.S. Hwy 62/180 at White's City, New Mexico—which is 20 miles (32 km) southwest of Carlsbad, New Mexico and 145 miles (233 km) northeast of El Paso, Texas. The entrance road stretches a scenic seven miles (11 km) from the park gate at White's City to the visitor center and cavern entrance. The park's visitor center is located 25 miles (40 km) from the town of Carlsbad.",,https://www.nps.gov/cave/planyourvisit/visitor-center.htm,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM
Channel Islands,chis,Channel Islands National Park Visitor Center,34.2484535,-119.266582,"The Robert J. Lagomarsino Visitor Center at Channel Islands National Park features a bookstore, a display of marine aquatic life, and exhibits featuring the unique character of each park island. Visitors also will enjoy the 25-minute park movie, “A Treasure in the Sea,” shown throughout the day in the auditorium (closed-caption film available upon request). The fully accessible visitor center is open 8:30 am until 5 pm daily. The visitor center is closed on Thanksgiving and December 25th.","The visitor center is located in the Ventura Harbor in Ventura, California. Ventura is located 70 miles north of Los Angeles and 30 miles south of Santa Barbara. Plane, train, and bus service are all available to Los Angeles and Santa Barbara. Only train, bus, and private car transportation are available from Los Angeles and Santa Barbara to Ventura.",http://www.nps.gov/chis/planyourvisit/directions.htm,http://www.nps.gov/chis/planyourvisit/visitorcenters.htm,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM
Channel Islands,chis,Outdoors Santa Barbara Visitor Center,34.4040948103,-119.693621455,"The small Outdoors Santa Barbara Visitor Center not only has one of the best views of Santa Barbara, but also offers visitors information about Channel Islands National Park, Channel Islands National Marine Sanctuary, Santa Barbara Maritime Museum, and the City of Santa Barbara. Open 10:30 am until 4:30 pm daily. The visitor center is closed on Thanksgiving Day, December 25, January 1, and the first Friday in August for Fiesta.","The Outdoors Santa Barbara Visitor Center is located in the Santa Barbara Harbor in Santa Barbara, California. Santa Barbara is located 100 miles north of Los Angeles and 30 miles north of Ventura. Plane, train, and bus service are all available to Los Angeles and Santa Barbara.",http://www.nps.gov/chis/planyourvisit/directions.htm,http://outdoorsb.sbmm.org/,10:30AM - 4:30PM,10:30AM - 4:30PM,10:30AM - 4:30PM,10:30AM - 4:30PM,10:30AM - 4:30PM,10:30AM - 4:30PM,10:30AM - 4:30PM
Channel Islands,chis,San Miguel Island Ranger and Visitor Contact Station,34.0385019677,-120.351545479,The visitor contact and ranger station is only open when staff is present.,This visitor center can only be visited by boat. Book your transportation with the park concessioner.,https://www.nps.gov/chis/planyourvisit/island-transportation.htm,https://www.nps.gov/places/000/ranger-station.htm,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM
Channel Islands,chis,Santa Barbara Island Visitor Center,33.4806962333,-119.029582707,A small visitor center is located on the island. Features include displays on the natural and cultural resources of the island.,This visitor center can only be visited by boat. Book your transportation with the park concessioner.,https://www.nps.gov/chis/planyourvisit/island-transportation.htm,,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM
Channel Islands,chis,Santa Rosa Island Visitor Contact Station,34.007494,-120.050574,The historic schoolhouse is now home to this small visitor contact station with exhibits on the ranching history of Santa Rosa Island.,This visitor center can only be visited by boat. Book your transportation with the park concessioner.,https://www.nps.gov/chis/planyourvisit/island-transportation.htm,https://www.nps.gov/places/000/schoolhouse-1.htm,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM
Channel Islands,chis,Scorpion Ranch Visitor Center on Santa Cruz Island,34.04887527,-119.558456498,The small visitor center resides in the historic Scorpion Ranch house which was constructed in 1886-1887.,This visitor center can only be visited by boat. Book your transportation with the park concessioner.,https://www.nps.gov/chis/planyourvisit/island-transportation.htm,,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM
Channel Islands,chis,Visitor Center Anacapa Island,34.015499,-119.36376,"Once the historic Coast Guard general services building (workshop and garage), this Mission Revival style building now serves as a small visitor center that features include displays on the natural and cultural resources of the island and the original lead-crystal Fresnel lens from the Anacapa Lighthouse.",This visitor center can only be visited by boat. Book your transportation with the park concessioner.,https://www.nps.gov/chis/planyourvisit/island-transportation.htm,https://www.nps.gov/chis/planyourvisit/visitorcenters.htm,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM
Congaree,cong,Harry Hampton Visitor Center,33.82961924617921,-80.8233726725208,"Open 9:00 a.m. to 5:00 p.m. daily. Closed New Year's Day, Washington's Birthday, Columbus Day, Thanksgiving Day, and Christmas Day.","From Interstate 77, take Exit 5 and turn onto SC Hwy 48 East (Bluff Road). Drive approximately 8 miles and then take a slight right onto Old Bluff Road. Follow Old Bluff Road for 4.5 miles to the park entrance sign, which will be on the right. Proceed one mile to the Harry Hampton Visitor Center. Parking lots will be on the right. Short brick paths lead up to the Visitor Center. Inside you find an America's National Parks bookstore.",,https://www.nps.gov/cong/planyourvisit/hours.htm,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM
Crater Lake,crla,Rim Visitor Center,42.9111713531,-122.143525906,Views of the lake are prominent and accessible from Rim Visitor Center. It is located at the historic Kiser Studio in Rim Village. Outdoor exhibits at the near-by Sinnott Memorial Overlook are open when the ice melts from the walkway in June until mid-October. Get your passport stamp when the visitor center is open. Rim Visitor Center is usually open seven days a week in summer.,"Rim Visitor Center* is in Rim Village, 7 miles north of Highway 62 from Annie Springs Entrance Station or 14 miles south of the North Entrance** via West Rim Drive. Angle-in parking with additional parking in the picnic area. Large vehicles use the dedicated parking area at the entrance to Rim Village or near-by pullouts. *There is no physical address for the Rim Visitor Center. **North Entrance Road and West Rim Drive are closed from November 1 or the first significant snowfall to generally mid-June.",http://www.nps.gov/crla/planyourvisit/directions.htm,http://www.nps.gov/crla/planyourvisit/visitorcenters.htm,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM
Crater Lake,crla,Steel Information Center,42.8968763528,-122.134315902,"Steel Information Center has reopened after a major structural renovation to stabilize the building against seismic and excessive snow load forces. The historic integrity of this former ranger dormitory, now known as the Steel Information Center, remains while accessibility and safety have been increased for all visitors and staff. The building received get new electric wiring, IT cabling, plumbing, heating, and an updated interior building layout.","Steel Visitor Center is located at park headquarters, 4 miles north of Highway 62 and 3 miles south of Rim Village on Munson Valley Road (sometimes shown on maps as Volcanic Scenic Byway). Turn into park headquarters at the only blinking 3-way stop sign in the park. During summer, there are two accessible parking spaces in front of the flagpole, and drop-off space next to the winter-access snow tunnel on the right side of the visitor center.",http://www.nps.gov/crla/planyourvisit/directions.htm,http://www.nps.gov/crla/planyourvisit/visitorcenters.htm,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM
Cuyahoga Valley,cuva,Boston Mill Visitor Center,41.26258795,-81.56030814000002,"Start your visit to Cuyahoga Valley National Park at Boston Mill Visitor Center. Meet park staff, get questions answered, and learn about the park and places to visit. The visitor center is open daily from 9:30 am to 5 pm, March through December. January and February, hours are shortened. For the summer season, hours are extended and additional staff are available outside the visitor center to assist with trip planning, weather permitting. Restrooms stay open even when the visitor center is closed.","The Boston Mill Visitor Center is located on the corner of Riverview Road and Boston Mills Road, two and a half miles north of the town of Peninsula, OH.",https://www.nps.gov/cuva/planyourvisit/directions.htm,,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM,9:30AM - 5:00PM
Cuyahoga Valley,cuva,Canal Exploration Center,41.37258205,-81.61302897999997,"Discover the Ohio & Erie Canal in the storied Canal Exploration Center that was once used as a tavern, a general store, a residence, and a park visitor center. Find out how the canal shaped the nation through in-depth, interactive Canal Era exhibits for children and adults. Restrooms at the trailhead stay open even when Canal Exploration Center is closed.","Located at the north end of Cuyahoga Valley National Park, Canal Exploration Center is located at the intersection of Canal and Hillside Roads.",,,Closed,Closed,Closed,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM
Cuyahoga Valley,cuva,Hunt House,41.200817,-81.57199000000003,"Hunt House offers child-friendly nature exhibits, a rest area along the Towpath Trail, and information about nearby attractions. Hunt House is open seasonally as staffing allows. Restrooms stay open even when Hunt House is closed.","Located toward the southern end of the park, Hunt House is located along the Towpath Trail on Bolanz Road between Riverview and Akron Peninsula Roads.",http://www.nps.gov/cuva/planyourvisit/directions.htm,,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Death Valley,deva,Furnace Creek Visitor Center,36.4617962759,-116.866672707,"Furnace Creek Visitor Center is the central hub for all things Death Valley. Here you can pay the park entrance fee, speak with a ranger about trip plans or questions, participate in the Junior Ranger program, watch the 20-minute park film, explore museum displays, and browse the park bookstore.","Las Vegas, NV - Blue Diamond NV160 west to Pahrump, NV. Left on Bell Vista/State Line Road to Death Valley Junction and then left on CA190 (west) into the park. Lone Pine, CA - Take CA 190 east into the park. Ridgecrest, CA - Head north toward Trona, CA on CA178 to CA190. Baker, CA - Take 127 North to CA178 or CA190 west (left). Beatty, NV - Take NV374 south/west into the park.",https://www.nps.gov/deva/planyourvisit/directions.htm,,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM
